review,label
"Super cute, exactly as described, very well made",1
Lo usé en unas gafas de descenso que se empañaban y no tuvo ningún resultado. Se empañaban exáctamente igual que antes de aplicarlo.,0
Easy to use and be able to scare animal away. Solar light made it perfect! Size is just right that is not too big. Variety choice of frequency makes it more effectively rebel animals,1
Cute for my little dog,1
Zipper broke right after return period expired. A nice bag but now useless.,0
"Small sticker for a small wall . Delivered fast, good quality, bright colors , easy to put on. Exactly what I was looking for our toy storage room. I wish they have different sizes of this wall decal .",1
Worked as shown arrived very quickly,1
$35 for a two week supply. Way to expensive. Sending it back.,0
"Envío muy rápido y muy bien empaquetado. Barbie de Frida Kahlo muy guapa y con todos los detalles, aunque para ser Barbie Collector podía venir con las piernas articuladas...",1
Ordered a ring June 27th and still haven't received it or heard anything regarding it,0
I ordered a medium but when I received the item the sweater was to small to fit my Yorkie so I returned it then ordered a large it was still to small to fit my Yorkie it was also very cheaply made in China.,0
No sé todavía de su resultado pero de tamaño me ha parecido bien,1
"Funciona bien , pero a llegado sin envoltorio,caja abierta y con las instrucciones de otro modelo , el cual había comprado antes y lo he devuelto porque vino defectuoso .",1
"Producto de buena calidad a buen precio que cumple con las características que ofrece, es una buena alternativa a los productos originales.",1
Range is closer to 30 miles or less not 150 miles. I don’t live in a valley or have large obstructions around. Disappointed in signal strength.,0
"Great way to try many flavors and find out what you like. Some flavors contain sucralose, others don't, which is also important information to me.",1
"After 2 months 1 light or 25% of the order didn't work. Hoped they would work. Now I will have to return all 4 lights just because 1 didn't work. Seller is less than responsive. Asked me to create a movie of the issue, not sure why when it is simply clear that one doesn't light up with motion.",0
good little cart for short people,1
"I've read all the Joy Ellis Niki Galena books and the first Jackman & Evans. Lost Daughters is the best of the bunch. I thought it was very well written (with the exception of a few typos), had a great plot, and the twists & turns kept me guessing. The only thing I don't like is her use of fictional towns rather than real places! As a Yank with a British wife whose family lives in the fens I've spent a lot of time running along the narrow fen roads and visiting fen villages and towns. I don't understand why some authors take their creative licence to the point of creating towns and villages. I'm sure most readers would prefer to see places they can associate with rather than contrived locations!!",1
I fell in love with this case has good grip also beautiful case indeed n.n I would buy again but with different design. Plus the cover feels good doesn't slip at all.,1
easy to put on and has a nice view of the road.,1
"Nice shirts, I bought three, The tail is a little long to be worn out but tucks in well. Material is good and colors haven't faded after washing. I wash on cold and dry at on low heat and the shirts come out wrinkle free. The most important thing about these shirts is they have a pocket. I hate a shirt that doesn't have a pocket.",1
"No me gusto nada,xq las sombras no se quedan marcada",0
"De momento solo lo he probado en cristales de ventanas en casa, pero vs muy bien.",1
Nice selection of oils that all seem to be high quality.,1
"No es verdad que sea compatible, me falló desde el primer día.",0
The bras were so cheaply made. Had to return them,0
"Dear Santa: Children’s Christmas Letters and Wish Lists, 1870 – 1920 by Chronicle Books What I like about this book are many things. Not only for children but adults as there is so much history to learn about. love that they show color photos of a scene during the book. So much history: how the Santa letter came about over the years, the origins of Santa. Each section of years has a summary and toy terminology and the charm of children, living history section and a don't miss area before it gets into the letters. Amazing to learn when tinker toys were invented among other toys that we in our 60's remember. So many fond memories over the years, what a treasure this book is.",1
Started and idled fine but runs out out of fuel when put under load.,0
"muy buena calidad pero atención porque en un principio resultan muy rigidos y es peligroso porque tienes que tener cuidado cuando frenar porque no puedes coger bien el freno. Por lo demás, buena calidad, calentitos e impermeables-",1
"No permite el auto foco, El trípode no soporte el peso del dispositivo y se cae de un lado mas complicado cuando tiene los cables conectados. Terrible no se conecta via Bluetooth, con dispositivos de sonidos. NO ESTOY SATISFECHO. No lo he podido devolver porque me encuentro viajando, si pudiese seria recuperar bueno mi dinero.",0
This thing is great. It would get a 5* if I didn't need to keep around a USB mini to recharge it. USB micro or USB C would make this product amazing! It fits well in a pocket and keeps a charge.,1
"I've only been using this product for about a month, so I can't say that this has helped me get pregnant yet, but I can say that my cycle has definitely changed since using this product.",1
Theses beauties are unique and made well. Only con it that they turn my ankles and ugly black.,1
Not exactly what I expected but surprisingly pleased with the product. It is quiet and a perfect size for my 20 gallon aquarium. I would definitely purchase again.,1
Easy to use when halving recipes and you need 1/8 tsp,1
"algo pequeña , para mas de 2 años , cuesta que le entre por la cabeza , calidad muy buena y muy calentita",1
"the messages were fine, but the print is very light and sometimes difficult to see.",0
Son mucho mas blandas q en la foto. X el precio estan bien pero las he usado poco,0
"Easy to install, fits perfectly, and does a good job.",1
"Debía darle 5 estrellas, no se las doy porque pesa un poco más de lo deseable, pero es de acero, así que no podía pesar menos!",1
Exactly what I expected!,1
The product itself is okay and my son loves it but this listing is erroneous. It said I purchased 48 pouches but only 1 box of 4 arrived!!!,0
"A los niños les hizo mucha gracia ,mucha ilusión, es un juego muy entretenido para ellos está muy bien. Acerté",1
"Great rackets for the price. We been using it for a few weeks, still in pretty good shape. light weight compare with other beginner level rackets, came with a decent carrier too",1
The most awesome anal toy ever invented!!!,1
Granddaughter really likes it for her volleyball. well constructed and nice way to carry ball.,1
Definitely works for a smaller scale yard. I do wish it came with more nozzles.,1
