doc_id,context,question,ratings,hypo_answers
karate,"Karate is a Japanese martial art that uses striking techniques with hands, feet, elbows, and knees, as well as blocking and grappling, to develop physical and mental discipline.",What techniques are used in Karate to develop physical and mental discipline?,5,"Some techniques used in Karate to develop physical and mental discipline include practicing katas (forms), regular sparring with partners, meditation and breathing exercises, repetitive training of basic techniques, and following the principles of respect and self-control."
karate,"By whom, where and when was Karate invented?

Karate is an ancient discipline with the roots of its current form originating on the Japanese island of Okinawa during the Ryukyu Dynasty, which was established in the 15th century.

It became popular across Japan in the 1920s and expanded internationally following World War II.

A karate practitioner is called a karateka.",Where did Karate originate from?,5,"Karate originated in Okinawa, Japan."
karate,"What are the different types of Karate? What are the rules of Karate?

Karate comprises two modalities: Kumite and Kata. In Kumite, or combat, the winner of the three-minute fights is the one who obtains a clear lead of eight points, or the competitor having the highest number of points at time-up. If the fight is a draw, then the winner is determined by the first unopposed point advantage (Senshu) or in the case of a scoreless result, by a majority decision of the judges (Hantei).

Points are scored according to correctly-executed techniques of controlled punches, strikes and kicks.

One point – “Yuko” – is awarded for delivering a punch with a closed hand (tsuki) to the head, neck, belly, side, back or torso of the opponent.

Two points – “Waza-ari” – are awarded for a kick to the body.

Three points – “Ippon” – are scored for a high kick delivered to the head, or for a punch delivered on an opponent who has been taken to the ground after a sweep or takedown.

In Kata (meaning ""form""), competitors execute a set of pre-approved choreographed movements, with the winner being declared by a pool of judges using an electronic voting system.

Karateka are evaluated according to technical and athletic performances.",What are the different ways in which points can be scored in Karate Kumite?,2,"Points can be scored in Karate Kumite by executing strikes such as punches, kicks, and elbow strikes to specific target areas on the opponent's body. Points can also be scored by demonstrating control, timing, and technique in blocking or countering the opponent's attacks. Additionally, points can be scored by executing takedowns or throws that display skill and control over the opponent."
karate,"Karate and the Olympics

Karate made its full Olympic debut at Tokyo 2020 after being on the programme at the Youth Olympic Games Buenos Aires 2018.

In Tokyo, the sport featured Kumite and Kata events, with 80 athletes overall competing and a 50/50 split between men and women.

The Olympic competition took place at the legendary Nippon Budokan, Tokyo, which is considered a heartbeat for martial arts practitioners and enthusiasts.",When did karate make its full Olympic debut?,5,"Karate made its full Olympic debut at the 2020 Summer Olympics in Tokyo, Japan."
karate,"Best Karate athletes to watch

Some well-known kata performers include Shimizu Kiyou and Kiyuna Ryo of Japan, Damian Quintero of Spain, and Sakura Kokumai of the USA, while kumite stars include Olympic and world champions Steven Da Costa of France and Jovana Prekovic of Serbia.",Who are some of the best kata performers and kumite stars to watch in the world of Karate?,5,"Some of the best kata performers in the world of Karate include Rika Usami, Sandra Sanchez, and Antonio Diaz. As for kumite stars, some top athletes to watch include Tom Scott, Rafael Aghayev, and Ryutaro Araga."
trampolinegymnastics,"Trampolining was invented in 1934 by American gymnast George Nissen who, after watching trapeze acrobats perform tricks while bouncing off safety nets, built the first prototype trampoline to recreate their acrobatics. Initially used as a piece of equipment to train astronauts and athletes training for other acrobatic sports, the trampoline quickly became immensely popular as a sport in its own right. The first trampoline world championships were organised in London in 1964, and the sport joined the International Gymnastics Federation 34 years later in 1998.",Who invented the trampoline and when?,5,The trampoline was invented by George Nissen and Larry Griswold in 1936.
trampolinegymnastics,"Brief Overview of the Rules

The two individual trampoline events (men’s and women’s) involve athletes bouncing over 8 metres high in the air on a trampoline, which is a rectangular canvas made of synthetic fabric, to perform a series of twists, bounces and somersaults.

The trampoline bed is attached to a frame with steel springs so that its recoil action propels athletes high into the air. During competition, athletes perform routines composed of ten elements, scored according to their difficulty, execution and time spent in the air. The sport is highly technical and requires absolute precision.",What is the maximum height that athletes can bounce to on the trampoline during the individual trampoline events?,4,The maximum height that athletes can bounce to on the trampoline during the individual trampoline events is around 10 meters (33 feet).
trampolinegymnastics,"Olympic History

Trampolining made its first appearance at the 2000 Games in Sydney, with men’s and women’s competitions. The number of events (two) has remained unchanged since then. Since its inclusion at the Olympic Games, athletes from the People’s Republic of China have won 14 of the 36 medals awarded, including four gold medals However, Canadian Rosie MacLennan is the only athlete to successfully defend an Olympic trampoline title—a feat she accomplished at Rio 2016 after first winning gold at London 2012.",Which athlete successfully defended an Olympic trampoline title at the Rio 2016 Games after first winning gold at the London 2012 Games?,5,Rosie MacLennan
sportclimbing,"Sport climbing is a modern sport that has become immensely popular over the past 20 years. It is a young, mixed-gender sport – with 39 per cent of climbers under 18 years old – practised both outdoors and in a more urban format indoors. There are over 25 million climbers in 150 countries all over the world.

In 1985, a group of climbers gathered in Bardonecchia, near Turin, Italy, for an event called “SportRoccia”, which became the first organised lead competition in which competitors climb within a certain time limit. One year later, the first competition event on an artificial climbing wall was organised in Vaulx-en-Velin near Lyon, France.",What was the location of the first organised lead competition for sport climbing in 1985?,5,"The first organised lead competition for sport climbing in 1985 was likely held in Europe, possibly in France or Germany."
sportclimbing,"Brief Overview of the Rules

At the Olympics, sport climbing involves three formats : bouldering, speed and lead. In bouldering, athletes climb 4.5 m high walls without ropes, in a limited period of time and in the fewest attempts possible. Speed is a spectacular race against the clock in one-on-one elimination rounds that combine precision and explosivity. The best athletes scale a 15m high and five degrees inclinated wall in under six seconds for men and under seven seconds for women.

In the lead event, athletes climb as high as they can on a wall over 15m high in six minutes without having seen the route ahead of time. The routes for this event are more and more complex and challenging during the event, requiring all of the athletes’ physical and mental ability.

In Tokyo, each athlete competed in all three disciplines and the final scores reflected the combined results of the three competitions. The climber with the lowest score took home the first Olympic gold medal in the history of sport climbing.

In Paris 2024, two competitions will crown their own olympic champion in sport climbing. One will be a combined competition of bouldering and lead events, and the second one will only feature a speed event.",What is the scoring system for sport climbing at the Olympics and how is the overall winner determined?,5,"Sport climbing at the Olympics uses a scoring system called ""combined,"" where athletes compete in three disciplines: speed climbing, bouldering, and lead climbing. In speed climbing, athletes are timed as they race to the top of a standardized 15-meter wall. In bouldering, athletes attempt to complete a series of short, difficult routes within a set amount of time. In lead climbing, athletes have a set amount of time to climb as high as possible on a tall wall, with points awarded based on height reached. 

The overall winner is determined by combining the scores from each discipline. The athlete with the highest combined score is declared the winner."
sportclimbing,"Olympic History

Sport climbing took its first steps on the Olympic stage at the Buenos Aires Youth Olympic Games, in 2018. The event had not been highly publicised but the public was impressed by the spectacle and the suspense of this exciting sport. A hit at the youth events, sport climbing then made its debut at the Tokyo 2020 Games, joining the Olympic programme as a new sport.

The originality of these events as well as the discipline’s visual, aesthetic and exciting nature make it a very popular and widely-practised sport for young people that can take place in very diverse environments, urban or natural. Sport climbing will also be one of the four additional sports of Paris 2024 alongside breaking (making its Olympic debut), surfing and skateboarding, and it also will be part of the programme for the Los Angeles 2028 Olympic Games.",When did sport climbing first make its debut at the Youth Olympic Games?,4,Sport climbing first made its debut at the Youth Olympic Games in 2018.
boxing,"The exact origins of the sport of boxing are unknown, though some of the earliest evidence (dating from the 3rd millennium BCE) comes from Sumerian artifacts found in present-day Iraq. Boxing was introduced to the ancient Olympic Games in 688 BC, where boxers used soft leather thongs to bind their hands and forearms for protection.

Boxing seemed to disappear with the fall of the Roman Empire before resurfacing in the 17th century in England, where records of amateur boxing began in 1880. Initially, five weight categories were contested: bantam, not exceeding 54 kilos; feather, not exceeding 57 kilos; light, not exceeding 63.5 kilos; middle, not exceeding 73 kilos; and heavy, any weight.",What were the original five weight categories contested in amateur boxing in England in the 17th century?,5,"The original five weight categories contested in amateur boxing in England in the 17th century were likely lightweight, welterweight, middleweight, light heavyweight, and heavyweight."
